ID,Target_Death_Rate,RateOfIncidence,Income,Poverty%,Age,Ages_men,Ages_women,Location,SizeOfHousehold,Married%,Edu_less_HS,Edu_HSD,Edu_Clg,Edu_Bachdegree,Edu_HSD25,Edu_Bachdegree25,16+_Employed,16+_Unemployed,Prv_Public_HealthCov,Prv_HealthCov,Employ_PrvCov,Gov_HealthCov,Gov_HealthCov_Alone,White_Residents,Black_Residents,Married,Rate_Of_Birth
901,150.7,453.5494221,58543,8.3,36.1,36.8,35,"Gray County, Kansas",2.78,64.8,33.5,25.6,,4.5,25.6,14.3,70.8,2.9,76.1,,48.4,22.1,11.4,98.35119538,0,64.88372093,6.199261993
902,156.9,453.5494221,52795,10.8,49.4,48.7,35.2,"Greeley County, Kansas",2.46,66.6,4.8,0,,40.3,30.3,20.4,,2.1,81.9,60.5,42.7,28.8,10.5,87.17320261,0.89869281,64.68172485,5.687203791
903,155.4,453.5494221,39732,16.9,48,48,48,"Greenwood County, Kansas",2.23,55.3,8.6,39.1,45.7,6.6,40.1,11.3,56.2,3.5,69.4,,40.5,38,15.8,95.36993587,0.156421086,49.75212465,5.457746479
904,194.7,453.5494221,50525,12.9,43,39.7,46.7,"Harper County, Kansas",2.34,56.6,17.1,44.7,,6.3,36.6,13,59.7,3.7,71.7,,44.5,32.8,14,96.21225047,0.153557413,51.95232224,7.6011846
905,162.2,453.5494221,55074,12.8,38.6,37.7,39.3,"Harvey County, Kansas",2.47,58.4,13,23.7,,11.5,29.6,17.3,60.8,4.4,75.1,59.4,51.2,29.9,14.4,92.91517152,1.636285345,57.58044327,5.858531317
906,122.6,453.5494221,59596,10.7,36.1,32.6,38.5,"Haskell County, Kansas",2.93,58.6,38,36.7,,4,20.9,11.2,68.2,345345,62.4,53.5,41.4,27.5,17.8,85.76271186,0,63.94265233,5.965292842
907,127.6,453.5494221,52394,8.8,47.8,46.3,49.3,"Hodgeman County, Kansas",2.36,65.5,24.5,34.3,,2,25.9,18.4,65,2.5,79.2,,47,28.2,9.5,96.02888087,0,,9.393939394
908,173,453.5494221,56927,9.4,43.5,42.6,44.6,"Jefferson County, Kansas",2.47,61.7,16,37.6,,4.7,40.7,12.7,,6.9,77.6,60.4,54.2,29.1,11.9,95.68737433,0.476240872,60.9652612,5.155718398
909,165.8,453.5494221,44101,13.5,52.1,50.7,52.8,"Jewell County, Kansas",2.1,63.5,6.3,24.6,44,25.1,39.4,11.3,58.3,2.5,74.8,46.6,31.9,41.5,15.8,97.13627386,0.065832785,54.78018144,6.681034483
910,146.8,453.5494221,76104,6.6,60.2,35.6,38.1,"Johnson County, Kansas",2.56,56.8,11.5,25,,17.1,15.2,33.6,69.2,4.5,84,,63,18.9,8,86.91210873,4.488774095,55.46135117,5.529393013
911,209.6,453.5494221,53484,12.2,34.8,30.6,39.3,"Kearny County, Kansas",2.81,63,30,16.6,,3.5,23.4,10.5,66.3,1.8,77.5,67.1,54.8,21.4,11.1,83.65384615,0.860323887,64.97461929,5.231143552
912,129.4,453.5494221,53378,11.2,45.2,41.7,46.8,"Kingman County, Kansas",2.54,56.6,10.3,45.8,,2.3,56.3,14.8,56.5,5.7,71.5,54,43.3,32,13.7,97.18870347,0.141206675,55.25615436,7.676767677
913,141.4,453.5494221,46318,12.8,41.7,41.3,42.4,"Kiowa County, Kansas",2.21,60,8.5,15,,6.5,26.9,17.9,,4,73.1,,43.7,34.5,13.3,95.46529968,0.867507886,56.00375235,3.783783784
914,148.6,453.5494221,,10.9,535.2,44.7,44.4,"Lane County, Kansas",2.07,55.9,25.2,31.1,,3,29.7,,67.9,2.4,78.2,56.7,48.6,29.2,11.2,98.32735962,0.358422939,47.82608696,10.02949853
915,166.5,453.5494221,65549,10.9,37.3,36.4,38.6,"Leavenworth County, Kansas",2.7,53.1,13.3,30.5,,8.1,30.9,16.4,54.7,5.9,80.2,60.3,42.7,26.7,10.6,83.88535927,8.462551293,56.92974913,5.174510519
916,164.5,-,44896,12.7,46.2,43.8,47.9,"Lincoln County, Kansas",2.31,34.3,-,44.1,,1.8,32.3,15.6,59.5,345345,70.8,50.2,40.8,33,12.6,97.5269499,0.824350032,49.88764045,7.180385289
917,219.4,453.5494221,44520,14.8,43.7,44.3,42.9,"Linn County, Kansas",2.26,61.7,20.6,34.7,,0.9,37.2,10.5,52.1,8.3,75,49.8,44.8,32.3,13.7,96.30562552,0.692695214,54.47154472,7.603801901
918,161.2,453.5494221,57878,8.8,42,40.2,43.6,"McPherson County, Kansas",2.37,58.9,15.9,21.6,,11.3,29.1,19.3,66,3.1,80.7,,56,27.8,10.9,94.78326268,1.046082319,56.52616402,6.078625702
919,143.8,453.5494221,47723,11.9,45,43.7,46,"Marion County, Kansas",2.4,57.9,15.2,20.9,55.8,8.1,36.4,14.7,,5,74.9,56.5,49.1,33.4,15.3,95.76891782,0.81366965,57.88269551,6.021594684
920,150.2,453.5494221,63924,9.5,40.4,39.5,41.4,"Miami County, Kansas",2.55,59.3,14.5,36.6,,5.3,32.5,16.5,63.4,5.6,81.1,61.6,56,24.5,9.5,95.58247675,1.336882036,56.81528662,6.683134349
921,151.3,453.5494221,48645,11.2,44.4,40.8,54.2,"Mitchell County, Kansas",2.25,59.8,16.5,40.7,,4.2,34,18,60.5,2.6,79.5,59.8,47.3,27.6,11.3,97.87166455,0.381194409,55.30331224,2.550091075
922,193.4,453.5494221,44774,12.5,47.6,46.6,49.5,"Morris County, Kansas",2.36,62,20.8,36.6,,6.3,35.7,10,59.9,3.2,75.9,52.8,42.4,34.6,11.6,96.29565217,0.156521739,59.43474647,5.611775529
923,183.5,453.5494221,41527,17.7,40,39.7,40.6,"Neosho County, Kansas",2.47,53.1,9.4,20.7,,4.7,33.6,12.1,60.9,4.7,67.8,53,46.2,35,18.6,94.60512696,1.169092127,52.01918614,8.276059565
924,128.7,453.5494221,51923,10,49.2,46,51.9,"Ness County, Kansas",2.18,62.5,31.1,27.4,,17.8,35.9,15.5,60.9,2.7,77.2,,42.6,35.5,14.1,96.880078,0.519987,57.1945047,9.725158562
925,181.3,453.5494221,52749,12.9,42.6,,42.9,"Osage County, Kansas",2.44,57.4,15.7,33.8,,8.8,40.5,12.8,57.3,8.2,71.9,50.6,44.9,35.2,14.3,96.31840796,0.149253731,55.1575711,4.447806354
926,166.2,453.5494221,38848,12.9,48.5,46.5,49.7,"Osborne County, Kansas",2.08,59.6,18,22,,15.6,36.3,15.1,61.1,4,74.6,,38.9,34.8,13.6,97.67318879,0.396615547,50.90702948,4.141104294
927,182.5,453.5494221,47351,13.9,43.1,41.5,48.2,"Pawnee County, Kansas",2.32,46.2,26,23.2,49.6,1.2,28,12.7,51.6,1.9,72.8,53.2,42.1,32.8,15.2,90.65258284,4.847344813,45.76802508,1.121656601
928,171.1,0,45856,11.4,44.7,44.2,45.5,"Phillips County, Kansas",2.29,60.5,33.2,13.9,45.3,7.6,35.3,15.5,63.1,4.3,75.8,55.3,44.5,33.4,15.5,96.85511725,0.381748773,55.04469987,9.342230696
929,153.9,453.5494221,65373,10,34.7,34.7,34.6,"Pottawatomie County, Kansas",2.72,62.3,9.2,35,,6.5,31.2,21.2,64.8,3.7,80.4,66,52.1,23.8,10.7,94.08618785,1.290607735,62.60986328,8.095893103
930,177.9,453.5494221,54701,10.3,39.1,35,42.6,"Pratt County, Kansas",2.39,55.5,11.9,37.3,,3.9,26.5,18,59.9,5.6,71.8,56.1,47,32.1,15.7,95.03029058,0.718759626,52.7421835,5.278450363
931,177.8,453.5494221,44932,11.8,,48.7,52.4,"Rawlins County, Kansas",2.07,61.7,29.1,28.5,,2.5,30.8,18.6,58.2,435,77.6,53.6,40.8,35.1,12.4,97.40667976,0.353634578,53.38283828,10.28708134
932,172.6,453.5494221,46533,15.8,39.5,37.6,42.3,"Reno County, Kansas",2.44,53.3,20.2,32.7,,2.4,28.6,13.8,,435,69.7,52.8,46.3,32.5,15,91.3968591,2.980111774,52.29310276,5.263956311
933,173.6,453.5494221,49152,14.7,37.9,35.3,41.9,"Rice County, Kansas",2.42,56.4,20.5,22.2,,4.6,30.5,14,61.9,34,70.1,54.3,47.4,30.5,15,90.37347713,1.807469543,55.39809327,5.697730565
934,154.3,453.5494221,46468,20.2,24.7,24.5,25.3,"Riley County, Kansas",2.49,39.1,2.5,20.3,,8.3,17.4,24.1,54.5,534,85.4,73.2,50.6,16.4,6.5,83.26091013,6.552744528,43.09139683,4.808994852
935,151.9,453.5494221,45443,13.3,47.1,43.8,48.5,"Russell County, Kansas",2.12,58,25.2,31,40.6,3.2,32.8,13.1,60.7,53,70.5,48.4,34.1,39.3,16,95.43503148,1.244991414,52.20747144,10.703125
936,175.6,453.5494221,48460,13,37.7,36.8,39.1,"Saline County, Kansas",2.42,48.9,14.5,23.4,,6.2,33.5,15.2,65,45,70.9,,47.3,29.1,14.5,87.6415179,3.209832242,46.41804377,6.843609637
937,160.5,453.5494221,56032,8.3,42,40.7,43.4,"Scott County, Kansas",0.0221,65.3,21,18.3,48.3,12.3,33.4,15.7,67.5,34,84.1,67.1,50.8,24.7,6.3,95.23133117,0,56.83060109,6.629834254
938,164.4,453.5494221,47381,16,29.4,29.2,29.6,"Seward County, Kansas",3.05,47.7,25.7,23.7,,2.7,24.8,8.5,66.2,534,61.5,53.1,49,26,17.2,59.37956518,3.746670104,46.64438503,6.872294372
939,171.6,453.5494221,52795,15,38.8,37.4,40.1,"Shawnee County, Kansas",2.44,49.5,15.8,31.4,,7.5,31.1,18.7,60.2,53,71.7,54.4,48.5,31.9,14.5,82.79565081,7.873954092,46.64695662,5.852417303
940,157.6,453.5494221,41303,13.5,50.7,50.3,50.9,"Smith County, Kansas",2.21,60.7,10,37.2,,4.8,12.3,13,59.4,45,76,49.8,31.2,39.1,15.4,97.48663102,0.427807487,56.26874625,8.463949843
941,126,453.5494221,45945,14.1,43.7,42.3,123.5,"Stafford County, Kansas",2.35,63.1,25.3,21.7,,10.7,28.7,17,62.1,34,64.7,47.7,38.9,36.8,19.8,95.5787037,0.972222222,59.25306577,6.165919283
942,127.9,453.5494221,56591,11.5,35.7,36.9,33.6,"Stanton County, Kansas",2.58,63.5,21.3,27,,3.5,27.4,16.4,71,5,76.6,60.3,52,23.8,11.3,75.10469986,1.023731968,59.3902439,13.96396396
943,148.2,453.5494221,59773,9.7,34.9,34.3,37,"Stevens County, Kansas",2.84,68,38.7,29,,14.8,35.6,12.7,,345,69.7,,45.1,25.2,11.8,84.85793486,0.554400554,71.40009965,4.250386399
944,170.1,453.5494221,52476,13.3,40.8,,41.7,"Sumner County, Kansas",2.55,56.3,20.4,31.1,,5,35.9,14.1,58.2,345,72.7,56.5,50.5,30.8,14.5,94.37769693,0.89263051,55.02144979,6.593633733
945,154.5,453.5494221,50639,11.3,35.3,34.2,37.2,"Thomas County, Kansas",2.39,55.6,12.2,20.1,,3.8,28.9,18.6,68.9,345,81,65.9,48.3,24.7,11.3,94.47318612,1.867507886,53.81222432,5.794871795
946,177.9,453.5494221,45678,9.9,49.1,48.8,49.4,"Trego County, Kansas",2.21,66,3.4,26.3,,14.8,33.2,18.5,69.6,345,83.3,61.3,47.2,26.8,6.1,95.62860047,0.304981362,59.37019969,4.642857143
947,150.3,453.5494221,59160,9.6,42.1,41.9,43,"Wabaunsee County, Kansas",2.59,61.2,10.8,40.7,45.4,3.1,38.9,16.1,60.9,3,80.9,63.5,55.2,25.7,9.3,96.39845648,0.22866943,60.19490255,4.111600587
948,177.6,453.5494221,53447,11.5,35.7,34.5,40.5,"Wichita County, Kansas",2.79,13.4,36.9,20.6,,16.3,29.6,12.5,67.4,45,71.7,46.4,32.8,33.2,12.9,94.32849365,0,57.49039693,7.061503417
949,171.1,453.5494221,39764,16.7,43.8,42.1,46.1,"Wilson County, Kansas",2.37,53.2,20,34.4,,9,36.8,9.9,56.2,345,60.1,43.4,37.3,40,21.3,94.62531729,0.154508332,49.88060494,6.210826211
950,293.9,453.5494221,35502,18.4,47.4,46.9,48.6,"Woodson County, Kansas",2.08,53.6,7.8,46.1,41.1,5,38.8,12.7,59.7,34,63.1,44.1,35.8,38.5,17.5,94.67455621,0.529430084,44.93794905,6.818181818
951,195.1,425.8,39801,19,40.3,39.6,42,"Allen County, Kentucky",2.59,58.2,20.8,45,32.6,1.6,36,7.7,53.3,5,59.5,,39,36.7,20.2,96.51682633,1.355932203,57.42217649,3.786096257
952,202.2,513.5,54331,11.3,39.9,38.5,40.7,"Anderson County, Kentucky",2.56,57.2,15.4,36.6,44.4,3.5,38.8,11.4,62.4,345,77,61.6,55.4,28.3,12.9,95.61601029,2.329856165,56.35803931,5.4001554
953,192,502.2,37666,19.5,40.4,39,42,"Barren County, Kentucky",2.48,55.8,20.7,39.6,,4.7,41.5,9,54.8,345,60.6,46.8,41.3,39,22.7,93.12987769,4.209668026,53.03021379,5.4866708
954,238.5,564.2,34126,22.7,40.4,39.5,40.7,"Bath County, Kentucky",2.76,51,22.4,33.2,,2.3,39.2,9.1,43.8,345,51.7,39.6,36.7,46.2,29.7,96.10118551,1.636333278,52.0828485,4.990825688
955,223,493.5,24868,33.5,41.1,39.2,42.5,"Bell County, Kentucky",2.44,46.6,20.6,46.4,30.7,2.3,35.6,5,35.4,6,39.7,26.6,24.4,57.6,39.6,95.00536673,3.209302326,42.08152958,3.381417714
956,175.7,483.6,66939,8,36.2,35.7,36.6,"Boone County, Kentucky",2.77,58.2,13,36.9,,12,28.1,20.1,66.9,57,80.2,,63.4,21.8,10.4,91.73708242,2.995578452,58.57880964,5.289605924
957,176.5,490.8,42812,19.2,41.1,40,43.3,"Bourbon County, Kentucky",2.51,49.1,16.7,42.5,34.6,6.1,36.7,10.9,56.2,678,65.3,49.9,44.6,35.3,18.3,89.98151202,7.130365263,48.49370789,4.047026905
958,179.1,492.9,41538,17.5,41,38.8,345.6,"Boyle County, Kentucky",2.42,48.3,10.8,32.1,,5.1,35,11.8,50.9,7.1,65.3,49.8,43,38.4,21.7,88.98530012,6.921192323,50.06790403,4.910307084
959,236.8,639.7,41910,18.6,41,39.8,41.5,"Bracken County, Kentucky",2.54,53.4,22.3,35.6,41.4,0.7,43.4,9.2,,678,66.7,,48.2,37.4,22.3,98.93175074,0.023738872,49.89403573,6.52995143
960,232.3,522.1,28647,33,40.7,39.4,42.9,"Breathitt County, Kentucky",2.41,48.7,19.9,39.5,,1.1,34.3,5.1,38.1,87,37.7,,25.3,58.1,40.6,97.65285851,0.485615481,44.95813615,6.230133503
961,199.5,490,41547,19.2,42.5,41.1,43.8,"Breckinridge County, Kentucky",2.71,56,23.1,41.3,,3,44,5.1,48.2,7,62.3,,39,39.8,21.1,95.55854643,2.322915109,58.83239688,7.765151515
962,202.9,460.2,35219,23.3,41.2,,42.1,"Butler County, Kentucky",2.44,53.6,29,40.2,,3.3,43.3,4.5,,98,54.5,43,38.5,43.4,27.6,98.13790417,1.184261784,52.7820711,5.23255814
963,224.7,525,42640,18.2,42.6,42.3,42.9,"Caldwell County, Kentucky",2.39,55.2,7.7,60.2,,5.8,44.9,7.7,52.4,8.7,60.5,45.6,41.6,42.1,24.2,92.65554343,5.824107282,,7.912885662
964,213.4,534.8,40701,17,,41.5,43.1,"Carlisle County, Kentucky",2.39,58.4,15,36.5,,1.9,38.2,7.9,52.4,768,55.9,41.8,35.1,43.2,26.7,96.56902087,1.565008026,54.58960661,5.540166205
965,183.6,469.2,36736,21.6,28.5,26.6,31.1,"Christian County, Kentucky",2.67,51.1,12.2,45.7,39.4,2.8,32.7,10.4,43.5,67,64.8,50,29.5,32.7,19.3,72.45378174,19.8505913,51.65941773,8.722576079
966,266.2,572.1,25215,38.2,39.1,37.1,41.4,"Clay County, Kentucky",2.53,48.2,30.4,35.1,,3.7,36.9,5.3,31.6,67,39.7,,26.4,57.3,41.9,53585739.67,3.915492958,47.61904762,7.638737758
967,202.4,405.4,39184,20.9,37.6,35.8,39.2,"Prowers County, Colorado",2.44,54.6,15.6,13.1,,5.9,27.8,9.6,58.6,57,57.1,,38.1,38.6,25.4,95.1777687,0.662035145,51.35914333,6.036139946
968,205.8,474.6,35664,20.6,43.2,41.3,46.1,"Fayette County, Alabama",3.4,53.6,16.6,31.8,49.6,2.1,38.8,8.4,44.8,56,65.3,44.9,38.3,43.4,21.1,85.546875,12.38754735,51.49921842,5.73089701
969,150.7,407.4,63184,10.9,36.4,35.9,37.1,"Rio Blanco County, Colorado",2.48,58.5,15.8,28.9,,6.7,33.7,14.3,65.4,75,72.3,62.1,55.1,26,15.9,94.17461263,0.461859356,60.15310234,10.65292096
970,136.5,379.5,40593,18.3,40.9,40.1,41.8,"Rio Grande County, Colorado",2.49,55.5,26.1,32.8,,2.7,30.3,14,54.9,8.1,53.9,40.7,33,41.2,26.6,84.45295871,0.808854832,53.51960147,4.941176471
971,125.2,373.1,66846,8.4,40.1,39.8,40.5,"Routt County, Colorado",2.46,51.2,45,30.3,48.7,10.3,20.5,34.2,,4,77.4,68.1,46.4,19.1,10.1,94.89112937,0.419384902,50.77934471,4.116913206
972,145.4,337.1,31227,29.9,46.1,45.5,46.9,"Saguache County, Colorado",2.39,52.1,35.2,28.6,,6.8,24.7,17.9,,565,33.3,24.6,19.2,46.1,32.4,87.6563001,0.368707919,44.03387221,7.037358818
973,97.9,358.5,59603,9.9,40.7,40.5,41,"San Miguel County, Colorado",2.31,45.7,7.8,25.2,,30.4,18,39.7,70.6,5.8,73.4,63.5,39.3,21.7,12.6,95.90932777,0.234497134,40.63444109,4.135338346
974,133.8,364,44562,13.9,49.8,49.4,49.9,"Sedgwick County, Colorado",2.44,50.9,27.1,25.4,,1.7,35.1,14.7,52.8,646,60.2,41.3,31.4,45.7,22.7,91.71247357,1.226215645,49.00105152,5.925925926
975,87.6,259,68352,9.7,37.1,,38.5,"Summit County, Colorado",2.82,49,12.8,28.5,,22.8,17.2,32.3,74.3,456,68.3,,39.6,16.5,8.7,89.67519005,1.154111956,49.62042788,6.966359035
976,145,429.1,62380,9.5,49.4,49.4,,"Teller County, Colorado",2.42,60.1,17,48.1,,1.9,24.8,18.6,58.7,456,67.2,51.7,43.6,34.4,19.4,94.28020566,1.075407027,59.71192986,2.019315189
977,118.4,381.7,45784,11.4,44.4,41.8,45.6,"Washington County, Colorado",2.3,60.9,22.7,41.4,,2.6,35.1,12.6,56.2,456,67.2,51.8,39.7,37,19.4,96.0375391,0.583941606,58.32908813,6.155507559
978,198.2,421.7,33881,23.1,38.8,36.8,39.9,"Franklin County, Alabama",2.62,50.3,23.3,33.7,,3.7,37.5,7.4,49.4,456,58.6,44.9,40.3,38.3,21.7,88.27211228,4.912435987,49.02337229,3.264508929
979,150.7,389.5,45678,10.5,406.8,33.3,34.4,"Weld County, Colorado",2.8,55,14.4,30.9,48.6,6.1,27,17.8,63.1,456,69.9,58.6,51,27.3,16.3,87.205294,1.069947001,57.01953465,6.80980854
980,184.3,427.2,46838,14,36,36.5,35.9,"Yuma County, Colorado",2.6,55.2,20.8,29.1,,4.4,31.7,14.7,62.7,456,61.6,,36,35.9,21.3,94.14825724,1.197839961,50.6080207,4.737575476
981,157.5,486.8,65809,12.2,40.1,38.2,41.7,"Hartford County, Connecticut",2.51,46.8,14,26.6,,14.2,27.1,20.5,60.7,4,71.3,58.1,53.3,33.4,19.5,72.63181718,13.39795282,46.28481184,5.248472648
982,154.9,488.8,76365,7.9,44.2,43.1,45.5,"Middlesex County, Connecticut",2.4,52.2,9.2,31,,11.7,26.8,22.2,64.2,56,80.1,65.4,59.3,27.2,12.7,88.98798172,5.07553053,52.46457038,4.041212898
983,169,500.1,60387,13,39.8,38.1,41.1,"New Haven County, Connecticut",2.56,44.7,12.6,29.9,44,13.5,30.2,18.4,,456,69.1,56.4,50.8,34.3,20.6,75.01240977,12.84109466,45.04306379,4.240824844
984,152.3,471.5,78653,7.5,38.1,36.5,39.6,"Tolland County, Connecticut",2.49,46.8,5.1,21.1,,8.3,27.4,21.4,63.1,6.8,81.8,68.9,63.2,24.6,11.8,89.16273988,3.127385685,53.2505921,2.555885972
985,172.2,431.4,57547,10.3,40.4,39.2,41.6,"Windham County, Connecticut",2.53,46.9,9.1,29,,7.3,34.3,13.9,61.5,9.3,68.9,55.1,50.9,36.2,21,90.30901507,2.230356687,48.29027012,3.936336507
986,200.3,488,34425,23.9,42.2,41.5,43.3,"Geneva County, Alabama",2.47,52.3,24.7,39.1,,3.6,37.1,9.3,48.3,11.2,56.1,40,33.9,42.7,24.4,86.50009323,8.901734104,50.18597731,5.630397237
987,190.7,527.2,54271,14.1,37,35.1,38.4,"Kent County, Delaware",2.71,48.8,15.5,25.9,51,7.6,33.5,14.1,56.5,8.4,69.2,49.6,42.1,38.7,20.5,67.20882077,24.31198343,50.31450694,6.068779501
988,177.2,485.9,64632,12.3,37.5,36.1,38.8,"New Castle County, Delaware",2.63,45.2,14,31,,12.4,28.6,20.6,60.8,7.4,73.4,59.9,55.4,30.5,17,65.46940469,24.20098136,46.45074851,4.724925622
989,225.6,493.3,53316,13.9,47,45.4,48.3,"Sussex County, Delaware",2.52,51.1,17.8,38.7,37.1,6.5,35.3,13.5,52.9,8,64.7,43.1,38.4,45.4,23.1,81.4512161,12.66316775,50.71997832,5.256787135
990,182.4,447.8,44325,21.6,30.8,,31.8,"Alachua County, Florida",2.46,37.7,5.5,13.7,,14.7,21.5,21.5,54.6,7.9,71.3,,47.3,25.2,13.2,69.8660205,19.89630947,38.96880138,3.204859373
991,206.1,475.3,47121,19.6,36.6,35.5,38,"Baker County, Florida",3,47.9,17.9,51.7,,7.6,43.8,7.5,48.2,8.9,64.3,52.1,46.1,32.6,19.4,83.46784596,14.51262207,56.27056673,5.915444937
992,191.5,501.1,44800,15.6,39.8,38.3,41,"Bay County, Florida",2.54,49,19.6,32.1,,6.8,30.6,14.4,55.1,8.6,60.6,,32.1,36.3,19.6,82.06874134,10.76742343,47.33223403,5.729334092
993,209.9,434.4,39980,22.6,,36.8,44.9,"Bradford County, Florida",2.72,39.5,27.5,32.8,,6.3,37,7.8,41,12.4,57.4,,35.4,38.7,20.6,77.59247695,20.04554972,45.24515393,2.467138524
994,181.2,464.8,47973,14.5,46.6,45.1,47.9,"Brevard County, Florida",2.46,48.6,15.3,29.9,,7.9,28.8,16.9,49.6,10.9,64.2,45.5,38,38.1,18.3,83.0508444,10.28087523,47.33045769,4.967904974
995,174.7,381.9,35256,22.3,40.5,39.7,42.3,"Calhoun County, Florida",2.64,44.6,16.9,45.8,36.6,0.8,37.5,8.2,40.1,10,49,33.5,28.3,43.5,25.9,81.25213821,13.43140609,49.81187291,4.5
996,184.3,452.5,36383,20.1,55.4,54.4,56.1,"Citrus County, Florida",2.25,54.6,24.1,,,3.2,38.2,11.1,,13.1,57.6,31.6,24.7,54.3,24.4,93.29127701,2.992395492,51.06536419,3.923080412
997,182.6,471.3,58539,10.9,39,37.6,40,"Clay County, Florida",2.84,60.4,,35.4,,5,30.7,16.7,55.7,10.7,70.1,54.5,41.7,29.7,14.9,82.00864161,9.763596853,56.88094652,3.920755108
998,123.2,346.3,58403,14.3,48.5,46.7,,"Collier County, Florida",2.59,54.4,19.2,38.9,36.1,5.7,26.7,19.8,,7.8,58.6,38,28.5,40.8,19.3,87.80061626,6.830142103,54.17744518,5.163886194
999,195.9,436.6,32121,27.1,46.9,44.3,49.5,"Dixie County, Florida",2.41,45.8,39.8,33.7,,3.4,41,6.1,36.6,7.2,43.8,29.5,24.6,50.4,28.7,88.10515195,8.799950283,47.2318625,5.828779599
1000,189.2,504.4,46013,18.2,36,34.6,37.6,"Duval County, Florida",2.58,43.2,17.1,32.4,,8.9,28.6,18.7,57.9,10,63.5,50.9,41.7,32,19.3,61.47665866,29.39720863,41.79490974,5.094111629
1001,186.7,444.2,46139,19.2,37.2,34.9,39.6,"Escambia County, Florida",2.53,41.3,12.9,30.9,,6.7,28.9,16.4,52.4,9.4,65.5,48.2,36.3,35,18.2,68.96159986,21.60403752,41.92591941,4.387164057
1002,197.7,510.4,33315,28.1,40.2,38.2,41.7,"Hale County, Alabama",2.53,41.3,18.7,45.2,,0.5,42.9,9.9,43.6,13.3,54.5,39.8,34.6,46.7,26.8,39.96460409,58.24593603,,8.967468175
1003,174.6,444.8,51556,11.6,49.6,48.1,50.5,"Flagler County, Florida",0.0271,54.2,21.4,38.6,,2.9,34.7,15.1,43.7,456,61.9,41.9,36.5,42.2,17.9,81.41253981,11.21220841,57.66982409,4.063558218
1004,216.2,412,36788,25.3,42.1,39.1,48.7,"Franklin County, Florida",2.24,49.8,37.6,20.3,,1.4,35.4,10.1,43.9,9.4,52.8,34.1,28.7,43.3,20.9,81.99174407,14.55108359,50.50714615,4.934210526
1005,184.7,403.4,35849,25.6,40.2,38.8,41.2,"Gadsden County, Florida",2.53,39.6,24.7,34.3,,3.7,34.6,10.4,45.1,11.2,53.7,39.2,34.6,40.5,24.8,40.57384112,54.7927796,39.47182268,4.18136909
1006,209.2,383.8,40788,19.8,42,36.5,45.8,"Gilchrist County, Florida",2.54,47.3,39.5,34.9,23.7,2,38.8,7.7,44.8,10.4,50.2,37.2,33.3,40.2,22.5,91.59016008,6.10287194,52.06077259,6.283213504
1007,135.3,354.9,38783,21.1,45.3,42.5,48,"Glades County, Florida",3.04,44.3,38.6,23.6,,0.2,44.5,5.8,33.3,12.9,47.1,27.7,24.1,47.5,24.1,79.87492465,13.02742616,51.65816327,1.600365798
1008,189.1,434.7,38419,23.1,43.3,41.3,46.2,"Gulf County, Florida",3.56,44.8,29.4,34.7,,3.7,34.7,11.5,41,10.2,58.7,42.2,34,37.2,18.9,77.94741844,17.97275895,50.17760329,4.887361588
1009,188.4,336.8,31734,31.7,40.5,36.1,,"Hamilton County, Florida",2.35,39.3,36.9,44.4,18.7,0,37.4,7.2,33,15.8,49.7,35.3,29.4,47.8,28.4,60.72247308,34.09517193,44.32593857,7.14920071
1010,161.9,422.3,35371,29.9,34.8,33.2,36.4,"Hardee County, Florida",3.33,43.9,34.8,45.9,,0.9,41.1,7.4,,11,36.5,,21.8,48.7,34.9,82.55060434,7.965632736,52.29719086,6.773043626
1011,163.7,370.1,38494,25.3,33.8,32.3,34.8,"Hendry County, Florida",3.18,45.5,30.6,29.9,,1.2,32.2,6.3,51.2,11.9,38,31.3,26.7,37.4,27.2,73.78724292,12.00114694,48.00352578,7.09833795
1012,178.1,447.5,40094,15.3,,46.9,50,"Hernando County, Florida",2.45,52.4,14.5,40.5,,4.5,37.5,10.6,40.1,13.7,55.7,,28.9,47.9,25.8,89.94216545,5.380157772,51.03190825,5.381697487
1013,194.1,484,39930,17.3,43,,45.1,"Henry County, Alabama",2.47,53.1,16.4,,,8.5,35.5,9.4,49.7,8.1,61.9,42.2,35.8,41.8,22,70.36865291,28.35033619,51.47954743,7.114728275
1014,161.6,413.7,35787,19.5,52.1,50.2,54,"Highlands County, Florida",2.39,54,33,34,,1.4,12.3,10.7,37.6,13.3,53.2,27.8,21.6,54.6,25.3,83.03941909,9.559840534,-,5.119076848
1015,168.9,474.5,50758,16.8,36.6,35.5,37.6,"Hillsborough County, Florida",2.64,45.1,16,28.6,45.6,9.8,27.3,,58.8,456,61.2,,42.8,31.1,19.7,71.13081441,16.63501893,44.25647736,4.752577535
1016,167.3,430.4,47548,14.7,50.7,48.7,52.2,"Indian River County, Florida",2.44,51.7,22.4,36.2,36.1,5.3,30.3,16.4,44.2,12.2,59.5,35.6,27.6,45.1,20.6,86.17375723,9.246426722,49.97492434,5.396074172
1017,173.5,367.9,40205,12.3,45.3,42.6,48.8,"Jefferson County, Florida",2.17,46.3,29.2,24.8,,1.8,31.5,11.9,40.9,9.4,64.3,46.2,40.9,40.6,19.9,60.91703057,36.17410903,47.51432268,5.135032332
